ID	NAME	GENDER
t-henry-ii	Henry II	man
t-william-i	William The Conquerer	man
t-john	John	man
t-stephen-count-of-blois	Stephen, Count Of Blois	man
t-matilda-1	Matilda, Daughter of Baldwin V. Count of Flanders	woman
t-matilda-daughter-of-henry-i	Matilda, Daugher Of Henry 	woman
t-eleanor-of-aquitane	Eleanor of Aquitane	woman
t-henry-i	Henry I	man
t-william-son-of-henry-i	William, Son of Henry I	man
t-richard-i	Richard I	man
t-isabella-daughter-of-count-of-angouleme	Isabella, daughet of Count of Angouleme	woman
t-stephen	Stephen	man
t-adela-1	Adela	woman
t-matilda-2	Matilda, Daughter of Malcom III King of Scots	woman
t-william-ii	William II	man
t-henry-iii	Henry III	man
t-geoffrey-of-anjou-and-maine	Geoffery, Count of Anjou and Maine	man
t-robert-curthose	Robert Curthose, Duke Of Normandy	man
